Payment Denial Reason,fraud
"PATIENT NAME MISMATCH IN USG REPORT, HENCE CLAIM IS BEING REJECTED ",1
-NA-,1
"AS THE MAIN CLAIM CASE/PS1/HOSP3P58568/PS298227 WAS REJECTED, HENCE THE CLAIM FOR CT MRI IS ALSO BEING REJECTED AS THE CLAIM FOR CT MRI SHOULD BE CLUBBED WITH MEDICAL PACKAGE AND MEDICAL PACKAGE HAS BEEN REJECTED",0
REJECTED DUE TO DELAYED CLAIM SUBMISSION AFTER 15 DAYS OF PATIENT DISCHARGE,0
Reject ,1
"Claim is submitted after 15 days of Discharge of the patient, therefore claim has been rejected.",1
PACKAGE WRONGLY BLOCKED HENCE THIS CLAIM REJECTED,0
Delayed or no query reply,1
"Discharge documents submitted after 16 days of discharge, TAT of 15 days for submission of claims is passed out, Hence claim is not Payable",1
REJECTED AS ORAL MEDICATION GIVEN,0
"Claim is submitted after 30 days of Discharge of the patient, therefore claim has been rejected. ",1
REJECTED AS WRONG PACKAGE BLOCKED,0
rejected as claim is submitted after 30 days of Discharge of the patient,1
REJECTED AS CLAIM SUBMITTED AFTER 15 DAYS OF DISCHARGE ,1
"reject as Claim is submitted after 30 days of Discharge of the patient, ",1
"As per TMS Claim is submitted after 15 days of discharge of the Patient, therefore claim have been rejected as instructed by IC",1
"Claim is submitted after 30 days of Discharge of the patient, therefore claim has been rejected as per SHA INSURER instructions",1
"Claim is submitted after 30 days of Discharge of the patient, therefore claim has been rejected.",1
"CLAIM WAS SUBMITTED AFTER MORE THAN 30 DAYS OF DISCHARGE,HENCE CLAIM IS BEING REJECTED",1
REJECTED AS CLAIM SUBMITTED AFTER 15 DAYS OF DISCHARGE,1
DISCHARGE LESS THAN 24 HOURS. HENCE REJECTED.,0
REJECTED AS CLAIM SUBMITTED AFTER 15 DAYS OF DEATH,0
"CLAIM SUBMITTED 15 DAYS AFTER DISCHARGE ,HENCE REJECTED  ",1
CLAIM SUBMITTED AFTER 30 DAYS OF PATIENT DISCHARGE HENCE REJECTED ,1
REJECTED DUE TO MISMATCHED PACKAGE BLOCKED.,0
"DISCHARGE UPDATED MORE THAN 15 DAYS,HENCE REJECTED ",1
CLAIM REJECTED AS SURGICAL AND MEDICAL PACKAGE CAN NOT BE CLUBBED TOGETHER,0
"Claim is submitted after 15 days of Discharge of the patient, therefore claim has been rejected",1
"After repeated query raised,OT note and post operative X ray film not provided,hence rejected",1
DISCHARGE UPDATED MORE THAN 15 DAYS HENCE REJECTED ,1
"Documentation : Delayed or non-submission of claim (as per state guidelines), paid by patient",0
REJECTED AS WRONG PACKAGE BLOCKED...ENDOSCOPY NOT PAYABLE UNDER THIS PACKAGE,0
QUERY NOT REVERTED HENCE REJECTED ,1
REJECTED AS ENDOSCOPY ARE NOT COVERED UNDER THIS PACKAGE,0
REJECTED AS ALREADY PAID FOR THE SAME UNDER THIS ID CASE/PS1/HOSP3G58475/PS303398 ,1
Delay in claim submission two months,1
mismatch in package blocked and in discharge summary hence rejected ,0
POST OP USG/HPE REPORT NOT ATTACHED HENCE REJECTED ,1
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT,1
"Claim is submitted after 30 days of Discharge of the patient, therefore claim has been rejected",1
REJECTED AS CECT /ENDOSCOPY CHARGES ARE NOT COVERED UNDER THIS PACKAGE ,0
DISCHARGE NOT UPDATED BY HOSPITAL WITH IN 30 DAYS FROM DISCHARGE DATE HENCE REJECTED.,1
AS PER TMS CLAIM SUBMITTED 15 DAYS OF DISCHARGE OF PT,1
rejected as after 15 days tat,1
The claim stands rejected as there should be subsequent admission for medical treatment and standalone diagnostic package is not payable.,0
DISCHARGE NOT UPDATED BY HOSPITAL WITHIN 15 DAYS FROM DISCHARGE DATE HENCE REJECTED.,1
REJECTED AS AFTER 30 DAYS TAT,1
DISCHARGE NOT UPDATED BY HOSPITAL WITH IN 15 DAYS FROM DISCHARGE DATE HENCE REJECTED.,1
REJECTED AS SAME PACKAGE BLOCKED FOR SAME DOA IN SAME HOSPITAL FOR SAME PATIENT UNDER CASE/PS1/HOSP3P12536/PS323190 ..,0
Case is already booked under surgical package case no. CASE/PS1/HOSP3G77043/PS289932. Hence surgical and medical case can not be booked at same time,0
AS QUERY IS ALREADY ASKED FOR POST OP HPE REPORT AND IT IS NOT PROVIDED EVEN AFTER ASKING FOR 2 TIMES. HENCE REJECTED.,1
"Claim is submitted after 15 days of Discharge of the patient, therefore claim has been rejected as per SHA INSURER instructions",1
as per  documents provided  query reply  surgery not done hence rejected  ,1
REJECTED AS PREAUTH WAS INITIATED AFTER PROCEDURE WAS DONE,1
claim rejected as already same package paid under case id CASE/HOSP3P10675/FS204112,1
